theobromine	YAPQBXQYLJRXSA-UHFFFAOYSA-N
monorden	WYZWZEOGROVVHK-GTMNPGAYSA-N
monorden	WYZWZEOGROVVHK-HZDAAVBUSA-N
lomustine	GQYIWUVLTXOXAJ-UHFFFAOYSA-N
ketoconazole	XMAYWYJOQHXEEK-OZXSUGGESA-N
ketoconazole	XMAYWYJOQHXEEK-ZEQKJWHPSA-N
ketoconazole	XMAYWYJOQHXEEK-NASUQTAISA-N
ketoconazole	XMAYWYJOQHXEEK-UHFFFAOYSA-N
aminoglutethimide	ROBVIMPUHSLWNV-UHFFFAOYSA-N
fluphenazine	PLDUPXSUYLZYBN-UHFFFAOYSA-N
citalopram	WSEQXVZVJXJVFP-UHFFFAOYSA-N
DL-thiorphan	LJJKNPQAGWVLDQ-UHFFFAOYSA-N
ethosuximide	HAPOVYFOVVWLRS-UHFFFAOYSA-N
torasemide	NGBFQHCMQULJNZ-UHFFFAOYSA-N
mercaptopurine	GLVAUDGFNGKCSF-UHFFFAOYSA-N
streptomycin	UCSJYZPVAKXKNQ-APUVXCOVSA-N
streptomycin	UCSJYZPVAKXKNQ-UJGCCNJDSA-N
streptomycin	UCSJYZPVAKXKNQ-HZYVHMACSA-N
streptomycin	UCSJYZPVAKXKNQ-ZCTIVXDHSA-N
streptomycin	UCSJYZPVAKXKNQ-UHFFFAOYSA-N
streptomycin	UCSJYZPVAKXKNQ-PMUJNECLSA-N
streptomycin	UCSJYZPVAKXKNQ-LPZYXKHESA-N
thiamazole	PMRYVIKBURPHAH-UHFFFAOYSA-N
puromycin	RXWNCPJZOCPEPQ-FNQTVZJVSA-N
puromycin	RXWNCPJZOCPEPQ-ZRKVXJNMSA-N
puromycin	RXWNCPJZOCPEPQ-UHFFFAOYSA-N
puromycin	RXWNCPJZOCPEPQ-NVWDDTSBSA-N
terfenadine	GUGOEEXESWIERI-UHFFFAOYSA-N
raloxifene	GZUITABIAKMVPG-UHFFFAOYSA-N
alsterpaullone	OLUKILHGKRVDCT-UHFFFAOYSA-N
glycopyrronium bromide	VPNYRYCIDCJBOM-UHFFFAOYSA-M
pancuronium bromide	NPIJXCQZLFKBMV-YTGGZNJNSA-L
pramocaine	DQKXQSGTHWVTAD-UHFFFAOYSA-N
ozagrel	SHZKQBHERIJWAO-AATRIKPKSA-N
nomifensine	XXPANQJNYNUNES-UHFFFAOYSA-N
pindolol	JZQKKSLKJUAGIC-UHFFFAOYSA-N
sulfadimethoxine	ZZORFUFYDOWNEF-UHFFFAOYSA-N
mianserin	UEQUQVLFIPOEMF-UHFFFAOYSA-N
arecoline	HJJPJSXJAXAIPN-UHFFFAOYSA-N
probucol	FYPMFJGVHOHGLL-UHFFFAOYSA-N
acebutolol	GOEMGAFJFRBGGG-UHFFFAOYSA-N
repaglinide	FAEKWTJYAYMJKF-QHCPKHFHSA-N
meclozine	OCJYIGYOJCODJL-UHFFFAOYSA-N
scriptaid	JTDYUFSDZATMKU-UHFFFAOYSA-N
zidovudine	HBOMLICNUCNMMY-XLPZGREQSA-N
chlorzoxazone	TZFWDZFKRBELIQ-UHFFFAOYSA-N
ganciclovir	IRSCQMHQWWYFCW-UHFFFAOYSA-N
monastrol	LOBCDGHHHHGHFA-UHFFFAOYSA-N
gentamicin	CEAZRRDELHUEMR-UHFFFAOYSA-N
leflunomide	VHOGYURTWQBHIL-UHFFFAOYSA-N
chlortalidone	JIVPVXMEBJLZRO-UHFFFAOYSA-N
methylprednisolone	VHRSUDSXCMQTMA-PJHHCJLFSA-N
pyridoxine	LXNHXLLTXMVWPM-UHFFFAOYSA-N
zalcitabine	WREGKURFCTUGRC-POYBYMJQSA-N
chlorambucil	JCKYGMPEJWAADB-UHFFFAOYSA-N
buspirone	QWCRAEMEVRGPNT-UHFFFAOYSA-N
iohexol	NTHXOOBQLCIOLC-UHFFFAOYSA-N
milrinone	PZRHRDRVRGEVNW-UHFFFAOYSA-N
flurbiprofen	SYTBZMRGLBWNTM-UHFFFAOYSA-N
quercetin	REFJWTPEDVJJIY-UHFFFAOYSA-N
protriptyline	BWPIARFWQZKAIA-UHFFFAOYSA-N
bepridil	UIEATEWHFDRYRU-UHFFFAOYSA-N
oxaprozin	OFPXSFXSNFPTHF-UHFFFAOYSA-N
gefitinib	XGALLCVXEZPNRQ-UHFFFAOYSA-N
dihydroergocristine	DEQITUUQPICUMR-UHFFFAOYSA-N
dihydroergocristine	DEQITUUQPICUMR-HJPBWRTMSA-N
brinzolamide	HCRKCZRJWPKOAR-JTQLQIEISA-N
nocodazole	KYRVNWMVYQXFEU-UHFFFAOYSA-N
dorzolamide	IAVUPMFITXYVAF-XPUUQOCRSA-N
zomepirac	ZXVNMYWKKDOREA-UHFFFAOYSA-N
ciprofibrate	KPSRODZRAIWAKH-UHFFFAOYSA-N
prednisolone	OIGNJSKKLXVSLS-VWUMJDOOSA-N
sulfanilamide	FDDDEECHVMSUSB-UHFFFAOYSA-N
ampicillin	AVKUERGKIZMTKX-NJBDSQKTSA-N
isradipine	HMJIYCCIJYRONP-UHFFFAOYSA-N
clemizole	CJXAEXPPLWQRFR-UHFFFAOYSA-N
sulfadoxine	PJSFRIWCGOHTNF-UHFFFAOYSA-N
latamoxef	JWCSIUVGFCSJCK-CAVRMKNVSA-N
propylthiouracil	KNAHARQHSZJURB-UHFFFAOYSA-N
clotrimazole	VNFPBHJOKIVQEB-UHFFFAOYSA-N
ciclosporin	PMATZTZNYRCHOR-VJRYSDSKSA-N
ciclosporin	PMATZTZNYRCHOR-KMSBSJHKSA-N
ciclosporin	PMATZTZNYRCHOR-QVSDIVLPSA-N
ciclosporin	PMATZTZNYRCHOR-UHFFFAOYSA-N
ciclosporin	PMATZTZNYRCHOR-IMVLJIQESA-N
ciclosporin	PMATZTZNYRCHOR-CGLBZJNRSA-N
AH-6809	AQFFXPQJLZFABJ-UHFFFAOYSA-N
TTNPB	FOIVPCKZDPCJJY-JQIJEIRASA-N
tacrine	YLJREFDVOIBQDA-UHFFFAOYSA-N
mephenytoin	GMHKMTDVRCWUDX-UHFFFAOYSA-N
cyclizine	UVKZSORBKUEBAZ-UHFFFAOYSA-N
zardaverine	HJMQDJPMQIHLPB-UHFFFAOYSA-N
maprotiline	QSLMDECMDJKHMQ-UHFFFAOYSA-N
cinoxacin	VDUWPHTZYNWKRN-UHFFFAOYSA-N
penbutolol	KQXKVJAGOJTNJS-HNNXBMFYSA-N
sitosterol	KZJWDPNRJALLNS-VJSFXXLFSA-N
alprenolol	PAZJSJFMUHDSTF-UHFFFAOYSA-N
podophyllotoxin	YJGVMLPVUAXIQN-XVVDYKMHSA-N
SC-560	PQUGCKBLVKJMNT-UHFFFAOYSA-N
chloroquine	WHTVZRBIWZFKQO-UHFFFAOYSA-N
cotinine	UIKROCXWUNQSPJ-VIFPVBQESA-N
lithocholic acid	SMEROWZSTRWXGI-HVATVPOCSA-N
azacitidine	NMUSYJAQQFHJEW-KVTDHHQDSA-N
cyclopentolate	SKYSRIRYMSLOIN-UHFFFAOYSA-N
mexiletine	VLPIATFUUWWMKC-UHFFFAOYSA-N
nordihydroguaiaretic acid	HCZKYJDFEPMADG-UHFFFAOYSA-N
2-aminobenzenesulfonamide	YAZSBRQTAHVVGE-UHFFFAOYSA-N
melatonin	DRLFMBDRBRZALE-UHFFFAOYSA-N
vanoxerine	HNLCJXKVYWWDTN-UHFFFAOYSA-N
vanoxerine	MIBSKSYCRFWIRU-UHFFFAOYSA-N
vanoxerine	HNLCJXKVYWWDTN-GHRIWEEISA-N
vanoxerine	NAUWTFJOPJWYOT-UHFFFAOYSA-N
vanoxerine	SOBYTUYXBBGSHH-UHFFFAOYSA-N
vanoxerine	HNLCJXKVYWWDTN-LGMDPLHJSA-N
galantamine	ASUTZQLVASHGKV-JDFRZJQESA-N
quinpirole	FTSUPYGMFAPCFZ-ZWNOBZJWSA-N
pyrimethamine	WKSAUQYGYAYLPV-UHFFFAOYSA-N
methotrexate	FBOZXECLQNJBKD-ZDUSSCGKSA-N
nicardipine	ZBBHBTPTTSWHBA-UHFFFAOYSA-N
enilconazole	PZBPKYOVPCNPJY-UHFFFAOYSA-N
clofazimine	WDQPAMHFFCXSNU-UHFFFAOYSA-N
streptozocin	ZSJLQEPLLKMAKR-GKHCUFPYSA-N
memantine	BUGYDGFZZOZRHP-UHFFFAOYSA-N
fluorometholone	FAOZLTXFLGPHNG-KNAQIMQKSA-N
glibenclamide	ZNNLBTZKUZBEKO-UHFFFAOYSA-N
L-methionine sulfoximine	SXTAYKAGBXMACB-DPVSGNNYSA-N
lysergol	BIXJFIJYBLJTMK-MEBBXXQBSA-N
tiratricol	UOWZUVNAGUAEQC-UHFFFAOYSA-N
spiperone	DKGZKTPJOSAWFA-UHFFFAOYSA-N
lovastatin	PCZOHLXUXFIOCF-BXMDZJJMSA-N
isoetarine	HUYWAWARQUIQLE-UHFFFAOYSA-N
pargyline	DPWPWRLQFGFJFI-UHFFFAOYSA-N
propranolol	AQHHHDLHHXJYJD-UHFFFAOYSA-N
tridihexethyl	NPRHVSBSZMAEIN-UHFFFAOYSA-N
phentolamine	MRBDMNSDAVCSSF-UHFFFAOYSA-N
homatropine	ZTVIKZXZYLEVOL-UHFFFAOYSA-N
homatropine	ZTVIKZXZYLEVOL-IZGVIRRGSA-N
risperidone	RAPZEAPATHNIPO-UHFFFAOYSA-N
miconazole	BYBLEWFAAKGYCD-UHFFFAOYSA-N
rolipram	HJORMJIFDVBMOB-UHFFFAOYSA-N
tolnaftate	FUSNMLFNXJSCDI-UHFFFAOYSA-N
sertaconazole	JLGKQTAYUIMGRK-UHFFFAOYSA-N
nisoxetine	ITJNARMNRKSWTA-UHFFFAOYSA-N
dexverapamil	SGTNSNPWRIOYBX-UHFFFAOYSA-N
sirolimus	QFJCIRLUMZQUOT-HPLJOQBZSA-N
sirolimus	QFJCIRLUMZQUOT-XRDCAIOLSA-N
naproxen	CMWTZPSULFXXJA-VIFPVBQESA-N
pilocarpine	QCHFTSOMWOSFHM-WPRPVWTQSA-N
lincomycin	OJMMVQQUTAEWLP-ISVUEQNNSA-N
lincomycin	OJMMVQQUTAEWLP-UHFFFAOYSA-N
lincomycin	OJMMVQQUTAEWLP-KIDUDLJLSA-N
lincomycin	OJMMVQQUTAEWLP-ZUWRKQLMSA-N
progesterone	RJKFOVLPORLFTN-LEKSSAKUSA-N
ifenprodil	UYNVMODNBIQBMV-UHFFFAOYSA-N
aceclofenac	MNIPYSSQXLZQLJ-UHFFFAOYSA-N
guanadrel	HPBNRIOWIXYZFK-UHFFFAOYSA-N
dapsone	MQJKPEGWNLWLTK-UHFFFAOYSA-N
diethylcarbamazine	RCKMWOKWVGPNJF-UHFFFAOYSA-N
amphotericin B	APKFDSVGJQXUKY-INPOYWNPSA-N
troglitazone	GXPHKUHSUJUWKP-UHFFFAOYSA-N
SB-203580	CDMGBJANTYXAIV-UHFFFAOYSA-N
picotamide	KYWCWBXGRWWINE-UHFFFAOYSA-N
vinblastine	JXLYSJRDGCGARV-CUGARIAGSA-N
vinblastine	JXLYSJRDGCGARV-UHFFFAOYSA-N
vinblastine	JXLYSJRDGCGARV-CFWMRBGOSA-N
vinblastine	JXLYSJRDGCGARV-XQKSVPLYSA-N
vinblastine	JXLYSJRDGCGARV-JQQWJEIDSA-N
benperidol	FEBOTPHFXYHVPL-UHFFFAOYSA-N
metanephrine	JWJCTZKFYGDABJ-UHFFFAOYSA-N
oxamic acid	SOWBFZRMHSNYGE-UHFFFAOYSA-N
(+)-isoprenaline	JWZZKOKVBUJMES-UHFFFAOYSA-N
ursodeoxycholic acid	RUDATBOHQWOJDD-UZVSRGJWSA-N
calcium pantothenate	FAPWYRCQGJNNSJ-UBKPKTQASA-L
indometacin	CGIGDMFJXJATDK-UHFFFAOYSA-N
epiandrosterone	QGXBDMJGAMFCBF-LUJOEAJASA-N
orphenadrine	QVYRGXJJSLMXQH-UHFFFAOYSA-N
cefalotin	XIURVHNZVLADCM-IUODEOHRSA-N
mimosine	WZNJWVWKTVETCG-UHFFFAOYSA-N
lynestrenol	YNVGQYHLRCDXFQ-XGXHKTLJSA-N
piretanide	UJEWTUDSLQGTOA-UHFFFAOYSA-N
fenoprofen	RDJGLLICXDHJDY-UHFFFAOYSA-N
dexibuprofen	HEFNNWSXXWATRW-JTQLQIEISA-N
gemfibrozil	HEMJJKBWTPKOJG-UHFFFAOYSA-N
isotretinoin	SHGAZHPCJJPHSC-XFYACQKRSA-N
orlistat	AHLBNYSZXLDEJQ-FWEHEUNISA-N
etodolac	NNYBQONXHNTVIJ-UHFFFAOYSA-N
Vitamin K2 	MJVAVZPDRWSRRC-UHFFFAOYSA-N
naphazoline	CNIIGCLFLJGOGP-UHFFFAOYSA-N
Y-27632	IYOZTVGMEWJPKR-VOMCLLRMSA-N
bumetanide	MAEIEVLCKWDQJH-UHFFFAOYSA-N
levopropoxyphene	XLMALTXPSGQGBX-GCJKJVERSA-N
benzbromarone	WHQCHUCQKNIQEC-UHFFFAOYSA-N
finasteride	DBEPLOCGEIEOCV-WSBQPABSSA-N
bromperidol	RKLNONIVDFXQRX-UHFFFAOYSA-N
vigabatrin	PJDFLNIOAUIZSL-UHFFFAOYSA-N
phenelzine	RMUCZJUITONUFY-UHFFFAOYSA-N
amantadine	DKNWSYNQZKUICI-UHFFFAOYSA-N
benzydamine	CNBGNNVCVSKAQZ-UHFFFAOYSA-N
hesperetin	AIONOLUJZLIMTK-AWEZNQCLSA-N
doxazosin	RUZYUOTYCVRMRZ-UHFFFAOYSA-N
tyrphostin AG-1478	GFNNBHLJANVSQV-UHFFFAOYSA-N
fasudil	NGOGFTYYXHNFQH-UHFFFAOYSA-N
metyrapone	FJLBFSROUSIWMA-UHFFFAOYSA-N
stachydrine	CMUNUTVVOOHQPW-LURJTMIESA-N
aciclovir	MKUXAQIIEYXACX-UHFFFAOYSA-N
ribavirin	IWUCXVSUMQZMFG-AFCXAGJDSA-N
sulfamethoxazole	JLKIGFTWXXRPMT-UHFFFAOYSA-N
exemestane	BFYIZQONLCFLEV-DAELLWKTSA-N
pentetrazol	CWRVKFFCRWGWCS-UHFFFAOYSA-N
betulinic acid	QGJZLNKBHJESQX-FZFNOLFKSA-N
mefloquine	XEEQGYMUWCZPDN-UHFFFAOYSA-N
mefloquine	XEEQGYMUWCZPDN-SWLSCSKDSA-N
natamycin	NCXMLFZGDNKEPB-ZIEPNCTPSA-N
natamycin	NCXMLFZGDNKEPB-YWLXPFDSSA-N
natamycin	NCXMLFZGDNKEPB-FFOAUBFKSA-N
natamycin	NCXMLFZGDNKEPB-HTTLVDSYSA-N
natamycin	NCXMLFZGDNKEPB-RXKQOUODSA-N
natamycin	NCXMLFZGDNKEPB-UHFFFAOYSA-N
natamycin	NCXMLFZGDNKEPB-SRRZVWMPSA-N
natamycin	NCXMLFZGDNKEPB-ZTCXGQLRSA-N
natamycin	NCXMLFZGDNKEPB-QGKVIQPQSA-N
natamycin	NCXMLFZGDNKEPB-BQGNJOPGSA-N
natamycin	NCXMLFZGDNKEPB-FFPOYIOWSA-N
natamycin	NCXMLFZGDNKEPB-YWDKRKKXSA-N
dilazep	QVZCXCJXTMIDME-UHFFFAOYSA-N
glipizide	ZJJXGWJIGJFDTL-UHFFFAOYSA-N
benzathine benzylpenicillin	JGSARLDLIJGVTE-MBNYWOFBSA-N
flutamide	MKXKFYHWDHIYRV-UHFFFAOYSA-N
tiapride	JTVPZMFULRWINT-UHFFFAOYSA-N
nizatidine	SGXXNSQHWDMGGP-IZZDOVSWSA-N
gibberellic acid	IXORZMNAPKEEDV-OBDJNFEBSA-N
triflusal	RMWVZGDJPAKBDE-UHFFFAOYSA-N
bisoprolol	VHYCDWMUTMEGQY-UHFFFAOYSA-N
ipratropium bromide	OEXHQOGQTVQTAT-UHFFFAOYSA-N
hymecromone	HSHNITRMYYLLCV-UHFFFAOYSA-N
guanethidine	ACGDKVXYNVEAGU-UHFFFAOYSA-N
myricetin	IKMDFBPHZNJCSN-UHFFFAOYSA-N
salbutamol	NDAUXUAQIAJITI-UHFFFAOYSA-N
bendroflumethiazide	HDWIHXWEUNVBIY-UHFFFAOYSA-N
H-7	BDVFVCGFMNCYPV-UHFFFAOYSA-N
dopamine	VYFYYTLLBUKUHU-UHFFFAOYSA-N
trihexyphenidyl	HWHLPVGTWGOCJO-UHFFFAOYSA-N
thioperamide	QKDDJDBFONZGBW-UHFFFAOYSA-N
imatinib	KTUFNOKKBVMGRW-UHFFFAOYSA-N
triamterene	FNYLWPVRPXGIIP-UHFFFAOYSA-N
levonorgestrel	WWYNJERNGUHSAO-XUDSTZEESA-N
nadolol	VWPOSFSPZNDTMJ-UCWKZMIHSA-N
pirenzepine	RMHMFHUVIITRHF-UHFFFAOYSA-N
famotidine	XUFQPHANEAPEMJ-UHFFFAOYSA-N
ketotifen	ZCVMWBYGMWKGHF-UHFFFAOYSA-N
mafenide	TYMRLRRVMHJFTF-UHFFFAOYSA-N
liothyronine	AUYYCJSJGJYCDS-LBPRGKRZSA-N
phenazone	VEQOALNAAJBPNY-UHFFFAOYSA-N
adipiodone	FFINMCNLQNTKLU-UHFFFAOYSA-N
PHA-00665752	OYONTEXKYJZFHA-MVUTXWCHSA-N
methylergometrine	UNBRKDKAWYKMIV-QWQRMKEZSA-N
AR-A014418	YAEMHJKFIIIULI-UHFFFAOYSA-N
sulfapyridine	GECHUMIMRBOMGK-UHFFFAOYSA-N
amitriptyline	KRMDCWKBEZIMAB-UHFFFAOYSA-N
bucladesine	CJGYSWNGNKCJSB-YVLZZHOMSA-N
LY-294002	CZQHHVNHHHRRDU-UHFFFAOYSA-N
probenecid	DBABZHXKTCFAPX-UHFFFAOYSA-N
nadide	BAWFJGJZGIEFAR-NNYOXOHSSA-N
mycophenolic acid	HPNSFSBZBAHARI-RUDMXATFSA-N
rifampicin	FZYOVNIOYYPUPY-ZTWDQPHTSA-N
ebselen	DYEFUKCXAQOFHX-UHFFFAOYSA-N
fluticasone	MGNNYOODZCAHBA-GQKYHHCASA-N
prasterone	FMGSKLZLMKYGDP-USOAJAOKSA-N
prasterone	FMGSKLZLMKYGDP-UHFFFAOYSA-N
nalidixic acid	MHWLWQUZZRMNGJ-UHFFFAOYSA-N
ribostamycin	NSKGQURZWSPSBC-VVPCINPTSA-N
ribostamycin	NSKGQURZWSPSBC-UHFFFAOYSA-N
ribostamycin	NSKGQURZWSPSBC-NLZFXWNVSA-N
metoclopramide	TTWJBBZEZQICBI-UHFFFAOYSA-N
chrysin	RTIXKCRFFJGDFG-UHFFFAOYSA-N
perhexiline	CYXKNKQEMFBLER-UHFFFAOYSA-N
ketoprofen	DKYWVDODHFEZIM-UHFFFAOYSA-N
doxycycline	SGKRLCUYIXIAHR-AKNGSSGZSA-N
pirinixic acid	SZRPDCCEHVWOJX-UHFFFAOYSA-N
sulfinpyrazone	MBGGBVCUIVRRBF-UHFFFAOYSA-N
glycocholic acid	RFDAIACWWDREDC-FRVQLJSFSA-N
desoxycortone	ZESRJSPZRDMNHY-YFWFAHHUSA-N
denatonium benzoate	VWTINHYPRWEBQY-UHFFFAOYSA-N
thiamine	JZRWCGZRTZMZEH-UHFFFAOYSA-N
nitrendipine	PVHUJELLJLJGLN-UHFFFAOYSA-N
colforsin	OHCQJHSOBUTRHG-KGGHGJDLSA-N
terbutaline	XWTYSIMOBUGWOL-UHFFFAOYSA-N
aztreonam	WZPBZJONDBGPKJ-VEHQQRBSSA-L
aztreonam	WZPBZJONDBGPKJ-VEHQQRBSSA-N
aztreonam	WZPBZJONDBGPKJ-VEHQQRBSSA-N
chloropyramine	ICKFFNBDFNZJSX-UHFFFAOYSA-N
procaine	MFDFERRIHVXMIY-UHFFFAOYSA-N
physostigmine	PIJVFDBKTWXHHD-HIFRSBDPSA-N
tubocurarine chloride	JFJZZMVDLULRGK-URLMMPGGSA-O
ceforanide	SLAYUXIURFNXPG-CRAIPNDOSA-N
metformin	XZWYZXLIPXDOLR-UHFFFAOYSA-N
NU-1025	YJDAOHJWLUNFLX-UHFFFAOYSA-N
albendazole	HXHWSAZORRCQMX-UHFFFAOYSA-N
rofecoxib	RZJQGNCSTQAWON-UHFFFAOYSA-N
flunarizine	SMANXXCATUTDDT-QPJJXVBHSA-N
prazosin	IENZQIKPVFGBNW-UHFFFAOYSA-N
thiamphenicol	OTVAEFIXJLOWRX-NXEZZACHSA-N
thioproperazine	VZYCZNZBPPHOFY-UHFFFAOYSA-N
clenbuterol	STJMRWALKKWQGH-UHFFFAOYSA-N
pivmecillinam	NPGNOVNWUSPMDP-XZDBBAETSA-N
pivmecillinam	NPGNOVNWUSPMDP-HLLBOEOZSA-N
pheniramine	IJHNSHDBIRRJRN-UHFFFAOYSA-N
carmustine	DLGOEMSEDOSKAD-UHFFFAOYSA-N
chlorpromazine	ZPEIMTDSQAKGNT-UHFFFAOYSA-N
asiaticoside	WYQVAPGDARQUBT-UHFFFAOYSA-N
asiaticoside	WYQVAPGDARQUBT-FGWHUCSPSA-N
tyloxapol	MDYZKJNTKZIUSK-UHFFFAOYSA-N
tyloxapol	DZGWFCGJZKJUFP-UHFFFAOYSA-N
fludroxycortide	POPFMWWJOGLOIF-XWCQMRHXSA-N
clomipramine	GDLIGKIOYRNHDA-UHFFFAOYSA-N
MG-132	TZYWCYJVHRLUCT-VABKMULXSA-N
clorgiline	BTFHLQRNAMSNLC-UHFFFAOYSA-N
celecoxib	RZEKVGVHFLEQIL-UHFFFAOYSA-N
propofol	OLBCVFGFOZPWHH-UHFFFAOYSA-N
harmine	BXNJHAXVSOCGBA-UHFFFAOYSA-N
3-aminobenzamide	GSCPDZHWVNUUFI-UHFFFAOYSA-N
monensin	GAOZTHIDHYLHMS-KEOBGNEYSA-N
digoxin	LTMHDMANZUZIPE-PUGKRICDSA-N
velnacrine	HLVVITIHAZBPKB-UHFFFAOYSA-N
doxepin	ODQWQRRAPPTVAG-UHFFFAOYSA-N
corynanthine	BLGXFZZNTVWLAY-DKJBZYCGSA-N
pimozide	YVUQSNJEYSNKRX-UHFFFAOYSA-N
flupentixol	NJMYODHXAKYRHW-DVZOWYKESA-N
flupentixol	NJMYODHXAKYRHW-UHFFFAOYSA-N
flupentixol	NJMYODHXAKYRHW-BLLMUTORSA-N
econazole	LEZWWPYKPKIXLL-UHFFFAOYSA-N
wortmannin	QDLHCMPXEPAAMD-QAIWCSMKSA-N
cyanocobalamin	FDJOLVPMNUYSCM-WZHZPDAFSA-L
cyanocobalamin	FDJOLVPMNUYSCM-UHFFFAOYSA-L
cyanocobalamin	FDJOLVPMNUYSCM-QJRSUKKJSA-L
cyanocobalamin	FDJOLVPMNUYSCM-UHFFFAOYSA-L
cyanocobalamin	FDJOLVPMNUYSCM-UVKKECPRSA-L
cyanocobalamin	FDJOLVPMNUYSCM-UHFFFAOYSA-L
cyanocobalamin	FDJOLVPMNUYSCM-UVKKECPRSA-L
cyanocobalamin	ILZDURAAGGSKOQ-WZHZPDAFSA-M
cyanocobalamin	FDJOLVPMNUYSCM-WZHZPDAFSA-L
cyanocobalamin	AGVAZMGAQJOSFJ-WZHZPDAFSA-M
cyanocobalamin	AGVAZMGAQJOSFJ-UHFFFAOYSA-M
paroxetine	AHOUBRCZNHFOSL-YOEHRIQHSA-N
tiabendazole	WJCNZQLZVWNLKY-UHFFFAOYSA-N
minaprine	LDMWSLGGVTVJPG-UHFFFAOYSA-N
staurosporine	HKSZLNNOFSGOKW-UCBFMKAXSA-N
staurosporine	HKSZLNNOFSGOKW-VCPDCAFQSA-N
staurosporine	HKSZLNNOFSGOKW-VYEKLMEQSA-N
staurosporine	HKSZLNNOFSGOKW-ZGQXJOJZSA-N
staurosporine	HKSZLNNOFSGOKW-GKHVWRADSA-N
staurosporine	HKSZLNNOFSGOKW-UUUCIFKISA-N
staurosporine	HKSZLNNOFSGOKW-HOWPHSCPSA-N
staurosporine	HKSZLNNOFSGOKW-HMWZOHBLSA-N
staurosporine	HKSZLNNOFSGOKW-UHFFFAOYSA-N
staurosporine	HKSZLNNOFSGOKW-FYTWVXJKSA-N
valdecoxib	LNPDTQAFDNKSHK-UHFFFAOYSA-N
tolfenamic acid	YEZNLOUZAIOMLT-UHFFFAOYSA-N
cinnarizine	DERZBLKQOCDDDZ-JLHYYAGUSA-N
aminocaproic acid	SLXKOJJOQWFEFD-UHFFFAOYSA-N
camptothecin	VSJKWCGYPAHWDS-FQEVSTJZSA-N
dipivefrine	OCUJLLGVOUDECM-UHFFFAOYSA-N
trifluridine	VSQQQLOSPVPRAZ-RRKCRQDMSA-N
cloxacillin	LQOLIRLGBULYKD-JKIFEVAISA-N
8-azaguanine	LPXQRXLUHJKZIE-UHFFFAOYSA-N
aminohippuric acid	HSMNQINEKMPTIC-UHFFFAOYSA-N
fluoxetine	RTHCYVBBDHJXIQ-UHFFFAOYSA-N
ifosfamide	HOMGKSMUEGBAAB-UHFFFAOYSA-N
pivampicillin	ZEMIJUDPLILVNQ-ZXFNITATSA-N
bupropion	SNPPWIUOZRMYNY-UHFFFAOYSA-N
diflunisal	HUPFGZXOMWLGNK-UHFFFAOYSA-N
ranitidine	VMXUWOKSQNHOCA-UKTHLTGXSA-N
trimipramine	ZSCDBOWYZJWBIY-UHFFFAOYSA-N
dydrogesterone	JGMOKGBVKVMRFX-HQZYFCCVSA-N
quipazine	XRXDAJYKGWNHTQ-UHFFFAOYSA-N
emetine	AUVVAXYIELKVAI-CKBKHPSWSA-N
gabapentin	UGJMXCAKCUNAIE-UHFFFAOYSA-N
tetramisole	HLFSDGLLUJUHTE-UHFFFAOYSA-N
metacycline	XIYOPDCBBDCGOE-IWVLMIASSA-N
furosemide	ZZUFCTLCJUWOSV-UHFFFAOYSA-N
cefotaxime	GPRBEKHLDVQUJE-VINNURBNSA-N
fisetin	XHEFDIBZLJXQHF-UHFFFAOYSA-N
loxapine	XJGVXQDUIWGIRW-UHFFFAOYSA-N
pizotifen	FIADGNVRKBPQEU-UHFFFAOYSA-N
arachidonic acid	YZXBAPSDXZZRGB-DOFZRALJSA-N
haloperidol	LNEPOXFFQSENCJ-UHFFFAOYSA-N
dobutamine	JRWZLRBJNMZMFE-UHFFFAOYSA-N
primidone	DQMZLTXERSFNPB-UHFFFAOYSA-N
cetirizine	ZKLPARSLTMPFCP-UHFFFAOYSA-N
dexamethasone	UREBDLICKHMUKA-CXSFZGCWSA-N
danazol	POZRVZJJTULAOH-LHZXLZLDSA-N
isocarboxazid	XKFPYPQQHFEXRZ-UHFFFAOYSA-N
felbinac	QRZAKQDHEVVFRX-UHFFFAOYSA-N
triamcinolone	GFNANZIMVAIWHM-OBYCQNJPSA-N
ionomycin	PGHMRUGBZOYCAA-UHFFFAOYSA-N
resveratrol	LUKBXSAWLPMMSZ-OWOJBTEDSA-N
atropine	RKUNBYITZUJHSG-PJPHBNEVSA-N
selegiline	MEZLKOACVSPNER-GFCCVEGCSA-N
digitoxigenin	XZTUSOXSLKTKJQ-CESUGQOBSA-N
biperiden	YSXKPIUOCJLQIE-UHFFFAOYSA-N
mifepristone	VKHAHZOOUSRJNA-GCNJZUOMSA-N
xylometazoline	HUCJFAOMUPXHDK-UHFFFAOYSA-N
pentoxyverine	CFJMRBQWBDQYMK-UHFFFAOYSA-N
hydroxyzine	ZQDWXGKKHFNSQK-UHFFFAOYSA-N
levobunolol	IXHBTMCLRNMKHZ-LBPRGKRZSA-N
cisapride	DCSUBABJRXZOMT-UHFFFAOYSA-N
thapsigargin	IXFPJGBNCFXKPI-FSIHEZPISA-N
minoxidil	ZIMGGGWCDYVHOY-UHFFFAOYSA-N
octopamine	QHGUCRYDKWKLMG-UHFFFAOYSA-N
lidocaine	NNJVILVZKWQKPM-UHFFFAOYSA-N
