NMHMNPHRMNGLLB-UHFFFAOYSA-N	Hydroxyphenyl Propionic Acid
YFMXWONORHSZEM-JDYLGNGMSA-N	2-{N'-[2-(5-Amino-1-Phenylcarbamoyl-Pentylcarbamoyl)-Hexyl]-Hydrazinomethyl}-Hexanoic Acid(5-Amino-1-Phenylcarbamoyl-Pentyl)-Amide
QJJXYPPXXYFBGM-OVFAVTNISA-N	Tacrolimus
XGWSRLSPWIEMLQ-YTFOTSKYSA-N	METHYL N-({(2S,3S)-3-[(PROPYLAMINO)CARBONYL]OXIRAN-2-YL}CARBONYL)-L-ISOLEUCYL-L-PROLINATE
SQLYTJZXRRDERK-UHFFFAOYSA-N	Balanol Analog 2
ORILYTVJVMAKLC-UHFFFAOYSA-N	Adamantane
WDZVGELJXXEGPV-UHFFFAOYSA-N	Icodextrin
JYGXADMDTFJGBT-KZUKIWJVSA-N	Hydrocortisone
HZGZJDSDCHDTCC-DVHWFNOLSA-N	Chlorophyll A
WLKQLKMXKFGMQI-AREMUKBSSA-N	2-Tridecanoyloxy-Pentadecanoic Acid
DGICBXKVUIEYAC-SREYOMJXSA-N	Chlorophyll A
YUWPMEXLKGOSBF-BBTZQSFGSA-N	anecortave acetate
RYYCJUAHISIHTL-UHFFFAOYSA-L	Oxonic Acid
XJPQZRGGVAWNOB-ASUULRMKSA-O	4-{4-[2-(1A,7A-DIMETHYL-4-OXY-OCTAHYDRO-1-OXA-4-AZA-CYCLOPROPA[A]NAPHTHALEN-4-YL) -ACETYLAMINO]-PHENYLCARBAMOYL}-BUTYRIC ACID
MLWJBKPFDKRHBM-SCUASFONSA-N	6-Aminohexyl-Uridine-C1,5'-Diphosphate
JQSNNQYIFZDNND-YFWFAHHUSA-N	Aldosterone
AZSNMRSAGSSBNP-IPRAJKPQSA-N	Ivermectin
NYPYHUZRZVSYKL-UHFFFAOYSA-M	3,5-Diiodotyrosine
SGRYPYWGNKJSDL-UHFFFAOYSA-N	Amlexanox
IUCCYQIEZNQWRS-DWWHXVEHSA-N	Ularitide
WNWSUJQVZJJGLF-SQFISAMPSA-N	(3e)-6'-Bromo-2,3'-Biindole-2',3(1h,1'h)-Dione 3-Oxime
NXQVLCBWFIFVHJ-VAYJURFESA-N	Biotin
FBJWERYWTUISTM-XRGYYRRGSA-N	(1'r,2's)-9-(2-Hydroxy-3'-Keto-Cyclopenten-1-Yl)Adenine
SRMPHJKQVUDLQE-KUJJYQHYSA-N	Azithromycin
RBZDFJJLXKFVBF-NVVYIRCCSA-N	Sucrose
VICIXNZSEUYGFV-UHFFFAOYSA-N	5-(2-hydroxyethyl)nonane-1,9-diol
GNTQICZXQYZQNE-PBXRRBTRSA-N	Tyvelose
NICKPTPNIMHUHB-DQUBFYRCSA-N	7-Alpha-D-Ribofuranosyl-Purine-5'-Phosphate
CABVTRNMFUVUDM-UHFFFAOYSA-I	(S)-Hmg-Coa
OTMLAWRVLMYMDF-UHFFFAOYSA-N	4-[4-(4-Methyl-2-Methylamino-Thiazol-5-Yl)-Pyrimidin-2-Ylamino]-Phenol
JHECKPXUCKQCSH-UHFFFAOYSA-L	Edetic Acid
WIKYUJGCLQQFNW-UHFFFAOYSA-N	Prochlorperazine
VWPOSFSPZNDTMJ-AEGPPILISA-N	Nadolol
ATXRWQHDXGZSMC-VRTFYRIBSA-N	Pentagastrin
RQWICELTTDJODO-UHFFFAOYSA-N	{3-[(5-CHLORO-1,3-BENZOTHIAZOL-2-YL)METHYL]-2,4-DIOXO-3,4-DIHYDROPYRIMIDIN-1(2H)-YL}ACETIC ACID
POADTFBBIXOWFJ-VWLOTQADSA-N	BNP 1350
WSGURAYTCUVDQL-UHFFFAOYSA-N	5-Nitroindazole
IKQRPFTXKQQLJF-UKTGLLKZSA-N	Rolitetracycline
VTMVHDZWSFQSQP-VBNZEHGJSA-N	Dezocine
DKXNBNKWCZZMJT-KVOYSHJESA-N	Mannobiose
ZDRFDHHANOYUTE-WOIOKPISSA-N	Methylthioinosine
UJEMGEUVWHFXGB-XYQGXRRISA-N	Spectinomycin
WIIZWVCIJKGZOK-RKDXNWHRSA-N	Chloramphenicol
PXSSQXBLDTZHLF-IOSLPCCCSA-N	Phosphomethylphosphonic Acid Adenosyl Ester
UIZPHGUBGPJBAR-QMMMGPOBSA-N	P-(2'-Iodo-5'-Thenoyl)Hydrotropic Acid
GVIAPFVAOSALSR-UHFFFAOYSA-O	CRA_7806
XZRSSNBKNYPWSG-UHFFFAOYSA-O	P54
SAXHGNLFQAIQSA-UHFFFAOYSA-N	Indomethacin
UQBOJOOOTLPNST-UHFFFAOYSA-N	2,3-Didehydroalanine
ULBPQWIGZUGPHU-UHFFFAOYSA-N	6-[BIS(2,2,2-TRIFLUOROETHYL)AMINO]-4-(TRIFLUOROMETHYL)QUINOLIN-2(1H)-ONE
VYFYYTLLBUKUHU-UHFFFAOYSA-N	Dopamine
MOMPMXYTSHYNQG-UHFFFAOYSA-N	Chlorhexadol
QPYLKEXEJIVGDR-TUPVOYLXSA-N	Chlorophyll A
VFIZFTGABDUGCF-UPVHCHBVSA-N	4-{4-[2-(1A,7A-DIMETHYL-4-OXY-OCTAHYDRO-1-OXA-4-AZA-CYCLOPROPA[A]NAPHTHALEN-4-YL) -ACETYLAMINO]-PHENYLCARBAMOYL}-BUTYRIC ACID
RQVLGLPAZTUBKX-GSVOUGTGSA-N	Vinylglycine
FDEXEPZGMKFCTG-PSASIEDQSA-N	(2R)-4-[(8R)-8-METHYL-2-(TRIFLUOROMETHYL)-5,6-DIHYDRO[1,2,4]TRIAZOLO[1,5-A]PYRAZIN-7(8H)-YL]-4-OXO-1-(2,4,5-TRIFLUOROPHENYL)BUTAN-2-AMINE
AKNFILKVBBTCOD-CSZVXOJQSA-N	Methylumbelliferyl Sialic Acid
AHLPHDHHMVZTML-UHFFFAOYSA-N	L-Ornithine
SBIZDOWXYPNTOJ-YVMONPNESA-M	(E)-2-Fluoro-P-Hydroxycinnamate
ISAKRJDGNUQOIC-PQVJJBODSA-N	Uracil
KCCUBLLGAMGDJL-HXUWFJFHSA-N	FR236913
HJLWRZVFPSINGF-UHFFFAOYSA-N	Phenyl Boronic Acid
QCVNMNYRNIMDKV-QGZVFWFLSA-N	AS-3201
JEJLGIQLPYYGEE-XIFFEERXSA-N	1,2-Dipalmitoyl-Phosphatidyl-Glycerole
CAHGCLMLTWQZNJ-UDJFBIGMSA-N	Lanosterol
JOUZYBMKOXDVCY-ZCFIWIBFSA-N	S,S-Propylthiocysteine
BLFLLBZGZJTVJG-WJULDGBESA-N	Benzocaine
UTQQILSWSRBFPH-UHFFFAOYSA-O	CRA_9785
ZTHMWDSJKLNDTE-UHFFFAOYSA-M	Orotic Acid
ZHFKBNAHHTUQBH-UHFFFAOYSA-N	2-(3-BENZOYLPHENOXY)ETHYL(HYDROXY)FORMAMIDE
GZBLEJZADHZBBZ-HOTGVXAUSA-N	2,4-DIAMINO-1,5-DIPHENYL-3-HYDROXYPENTANE
CQFGXDQUQWRXLE-UHFFFAOYSA-N	N-phenyl-1H-pyrrolo[2,3-b]pyridin-3-amine
ITIXDWVDFFXNEG-JHOUSYSJSA-N	Olcegepant
OVBJJZOQPCKUOR-UHFFFAOYSA-L	Edetic Acid
KAXFPJKKGITBPU-RQJHMYQMSA-N	(2s,4s)-Alpha-Campholinic Acid
RFSJKINIOFLCKH-BDQAORGHSA-L	Heme C
TZBJGXHYKVUXJN-ZRLBSURWSA-N	Genistein
RROCMCBQTUYDSD-VIFPVBQESA-N	2-[1-METHYLHEXYL]-4,6-DINITROPHENOL
SKCBPEVYGOQGJN-TXICZTDVSA-N	Uridine-5'-Monophosphate
HWWWUEFPPMGZJQ-KQYNXXCUSA-P	7n-Methyl-8-Hydroguanosine-5'-Triphosphate
SPSGYTWOIGAABK-RPBOFIJWSA-N	{4-[2-Acetylamino-2-(3-Carbamoyl-2-Cyclohexylmethoxy-6,7,8,9-Tetrahydro-5h-Benzocyclohepten-5ylcarbamoyl)-Ethyl]-2-Phosphono-Phenyl}-Phosphonic Acid
DMUHTUNFWVCAFF-UHFFFAOYSA-N	Propyl Acetate
IAJILQKETJEXLJ-QTBDOELSSA-N	Galacturonic Acid
MYPYJXKWCTUITO-UTHKAUQRSA-N	Vancomycin
IWEPXNNUQCOTQE-WVSUBDOOSA-N	Nalpha-(2-Naphthylsulfonylglycyl)-3-Amidino-D,L-Phenylalanine-Isopropylester
CYMASASQGRZLFM-UHFFFAOYSA-N	Butanoic Acid
GQKKBXULLCDBSY-ZTUDPLOFSA-N	Cholic Acid
GUBGYTABKSRVRQ-IVIOGDQNSA-N	Lactose
OBQMLSFOUZUIOB-VYNVVFCLSA-N	Glycinamide Ribonucleotide
VVIAGPKUTFNRDU-QWHCGFSZSA-N	5-Formyl-5,6,7,8-Tetrahydrofolate
CGDZXLJGHVKVIE-DNVCBOLYSA-N	MK-0974
OHRZASNYXHOBMS-UXXQNKSASA-N	Chlorophyll A
ULOTXPTWJAUGGE-HHHXNRCGSA-N	3-(1h-Indol-3-Yl)-2-[4-(4-Phenyl-Piperidin-1-Yl)-Benzenesulfonylamino]-Propionic Acid
MPNGLQDRSJNLPL-UHFFFAOYSA-N	RDEA806
QYIXCDOBOSTCEI-QCYZZNICSA-N	Cholesterol
YSVJZZZGPPWEIC-UHFFFAOYSA-N	N,N'-DIMETHYL-N-(ACETYL)-N'-(7-NITROBENZ-2-OXA-1,3-DIAZOL-4-YL)ETHYLENEDIAMINE
VEVHCKVFLWYWCN-KJWPAVRRSA-M	Imipenem
JJDHAOLOHQTGMG-UHFFFAOYSA-N	5-(5-(2,6-DICHLORO-4-(4,5-DIHYDRO-2-OXAZOLY)PHENOXY)PENTYL)-3-METHYL ISOXAZOLE
WKWLJLGGQPRVHH-XHIBXCGHSA-N	4-Diphosphocytidyl-2-C-Methyl-D-Erythritol
UHDGCWIWMRVCDJ-PJYQUQDBSA-N	Cytidine
VOXZDWNPVJITMN-ZGOKBZQCSA-N	Estradiol
VJJPUSNTGOMMGY-PJVTZUROSA-N	Etoposide
HVFLCNVBZFFHBT-FKULVZFESA-N	Cefepime
VFFCVKZHJFIUBM-UHFFFAOYSA-N	Pentyl Trihydrogen Diphosphate
NNQIJOYQWYKBOW-JWKOBGCHSA-N	Deacetoxycephalosporin-C
USKXJFHTBQWXCS-UHFFFAOYSA-N	4-(N-ACETYLAMINO)-3-[N-(2-ETHYLBUTANOYLAMINO)]BENZOIC ACID
ILWZMFJBPIYQKW-UHFFFAOYSA-N	Desulfo-Coenzyme A
QZUCAWXKEZPFBV-RCQHZQLASA-N	N-[5'-O-Phosphono-Ribofuranosyl]-2-[2-Hydroxy-2-[4-[Glutamic Acid]-N-Carbonylphenyl]-3-[2-Amino-4-Hydroxy-Quinazolin-6-Yl]-Propanylamino]-Acetamide
UWFYSQMTEOIJJG-SMNVMQODSA-N	Cyproterone acetate
SMBQBQBNOXIFSF-UHFFFAOYSA-N	Lithium
JELCQXUSROIZBL-UHFFFAOYSA-N	Delorazepam
UREBDLICKHMUKA-OBVOJRQPSA-N	Dexamethasone
OIPILFWXSMYKGL-UHFFFAOYSA-N	Acetylcholine
ROOXNKNUYICQNP-UHFFFAOYSA-N	Adenine
ZLSXDKHMQHQSHF-UHFFFAOYSA-N	Phenol
WDQAEQLIGLHQQP-PSJYLKOASA-O	Rifampicin
FAOZLTXFLGPHNG-KXWDGVDDSA-N	Fluorometholone
MKXZASYAUGDDCJ-KBAYOESNSA-N	Dextromethorphan
LUZRJRNZXALNLM-AYPVHHSWSA-N	Dihydroergotamine
FXEUKVKGTKDDIQ-UWVGGRQHSA-N	Glutathione S-(2,4 Dinitrobenzene)
DPVOIZAPDQDDKZ-UHFFFAOYSA-N	Lauryl Dimethylamine-N-Oxide
DVOOXRTYGGLORL-GSVOUGTGSA-N	S-Methylcysteine
XPCVYJATJSZGJU-UHFFFAOYSA-N	N-[4-({[5-(DIMETHYLAMINO)-1-NAPHTHYL]SULFONYL}AMINO)BUTYL]-3-SULFANYLPROPANAMIDE
PEDCQBHIVMGVHV-OUBTZVSYSA-N	Glycerol
NUOWFOQTUFBLMU-UHFFFAOYSA-N	Compound 18
MDWRYFXZJNRJGR-ZPHPHTNESA-N	2-amino-5-[3-(1-ethyl-1H-pyrazol-5-yl)-1H-pyrrolo[2,3-b]pyridin-5-yl]-N,N-dimethylbenzamide
MCWDCZIDTUQRHK-FDDDBJFASA-N	6-Chloropurine Riboside, 5'-Monophosphate
JQSAYKKFZOSZGJ-UHFFFAOYSA-N	Lorazepam
ROFCPXVFTZIBDS-JQCXWYLXSA-N	N-Acetyl-D-glucosamine
QUQPHWDTPGMPEX-TZXFGQEZSA-N	HESPERIDIN
IJIYLULZQBQFEU-MACKVBDYSA-N	Acetamide
ARAIBEBZBOPLMB-UFGQHTETSA-N	2,4-Deoxy-4-Guanidino-5-N-Acetyl-Neuraminic Acid
FTDXCHCAMNRNNY-UHFFFAOYSA-N	Phenol
FHFYDNQZQSQIAI-UHFFFAOYSA-N	Pefloxacin
NPLDKKQCVHAOKT-POHAHGRESA-N	4-(2-METHOXYPHENYL)-2-OXOBUT-3-ENOIC ACID
CSAISCVEDWXKDL-UHFFFAOYSA-N	Phenol
XOFYZVNMUHMLCC-YKAMNDFBSA-N	Prednisone
IHBOEHLUIBMBMY-YPKPFQOOSA-N	Indirubin-5-Sulphonate
GRANXHYNBYFAOB-JCJBQBFGSA-M	Chlorophyll A
PGBHMTALBVVCIT-DCUBTAJYSA-N	Framycetin
IAKHMKGGTNLKSZ-UHFFFAOYSA-N	Colchicine
KBCUSVABDOHQDK-UHFFFAOYSA-N	(4-sulfamoyl-phenyl)-thiocarbamic acid O-(2-thiophen-3-yl-ethyl) ester
ACMBXVJDKVNCGH-UHFFFAOYSA-N	1-Deoxy-1-Thio-Heptaethylene Glycol
PVHUJELLJLJGLN-MRXNPFEDSA-N	Nitrendipine
GUBGYTABKSRVRQ-FIYDWFNZSA-N	Lactose
PRFXRIUZNKLRHM-UHFFFAOYSA-N	Prostaglandin B2
SRBFZHDQGSBBOR-TXICZTDVSA-N	beta-D-Ribopyranose
MRAUNPAHJZDYCK-UHFFFAOYSA-N	Nitroarginine
WTKZEGDFNFYCGP-UHFFFAOYSA-N	Pyrazole
OJFSXZCBGQGRNV-UHFFFAOYSA-N	Carbinoxamine
ZJXZSIYSNXKHEA-UHFFFAOYSA-N	Ethyl Dihydrogen Phosphate
RHJAYOFCFJWVLE-ADUPEVMXSA-N	Morpholine-4-Carboxylic Acid [1s-(2-Benzyloxy-1r-Cyano-Ethylcarbamoyl)-3-Methyl-Butyl]Amide
NMOWFABSYWHGBG-UHFFFAOYSA-N	Deserpidine
MSHZHSPISPJWHW-PVDLLORBSA-N	(CHLOROACETYL)CARBAMIC ACID (3R,4S,5S,5R)-5-METHOXY-4-[(2R,3R)-2-METHYL-3-(3-METHYL-2-BUTENYL)OXIRANYL]-1-OXASPIRO[2.5]OCT-6-YL ESTER
REVPHPVBPSIEKM-VPHNIEJBSA-N	Coenzyme a Persulfide
AUYYCJSJGJYCDS-LBPRGKRZSA-N	Liothyronine
FSNBWEOGSXUNGF-VCXBKZMZSA-N	2-Hydroxy-5-({1-[(4-Methylphenoxy)Methyl]-3-Oxoprop-1-Enyl}Amino)-L-Tyrosine
MMYOOJCFTUNLCD-UHFFFAOYSA-N	Venlafaxine
PIWKPBJCKXDKJR-UHFFFAOYSA-N	Isoflurane
FOBRXMROTNVGST-WNCSSQJPSA-N	Inhibitor Bea428
QTQAWLPCGQOSGP-TYNULPAJSA-N	Geldanamycin
HOMGKSMUEGBAAB-CAHQQYMTSA-N	Ifosfamide
RUDATBOHQWOJDD-LVZBWNAFSA-N	Ursodeoxycholic acid
DJXMSZSZEIKLQZ-IRXDYDNUSA-N	INCB7839
HSIATXXREUDHTH-UHFFFAOYSA-N	Phenylethane Boronic Acid
QFJCIRLUMZQUOT-UVZXAKKISA-N	Sirolimus
KRKRAOXTGDJWNI-IMJSIDKUSA-O	2s,4r-4-Methylglutamate
UWMXUDUWVFWJPX-UHFFFAOYSA-N	9-Deazahypoxanthine
BRTDPJPTKQNAET-LJQANCHMSA-N	(3s)-3,4-Di-N-Hexanoyloxybutyl-1-Phosphocholine
BUIZDUYEIRRDAV-UHFFFAOYSA-N	3,5-DIMETHYL-1-PHENYL-1H-PYRAZOLE-4-CARBOXYLIC ACID ETHYL ESTER
OAWORKDPTSAMBZ-STQMWFEESA-N	S-(P-Nitrobenzyl)Glutathione
VCEFNMHMLWBFNV-UHFFFAOYSA-N	3',5'-DIFLUOROBIPHENYL-4-CARBOXYLIC ACID
RAJWOBJTTGJROA-JGWODIKPSA-N	Androstanedione
UJGGUJXLDVQMTL-UHFFFAOYSA-D	Calcium Chloride
RWQNBRDOKXIBIV-UHFFFAOYSA-N	Thymine
NVGFSTMGRRADRG-UHFFFAOYSA-N	SNX-5422
WXYKSWZWRHMJTE-KRWDZBQOSA-N	(S)-N-(4-carbamimidoylbenzyl)-1-(2-(cyclopentylamino)ethanoyl)pyrrolidine-2-carboxamide
IKYMLQOHQLVORI-HSTSHOJBSA-N	Nystatin
YRTJDWROBKPZNV-DYTRGIJQSA-N	(5E,13E)-11-HYDROXY-9,15-DIOXOPROSTA-5,13-DIEN-1-OIC ACID
YPBATNHYBCGSSN-VWPFQQQWSA-N	Mezlocillin
XAEIRIUPDTXLIL-UHFFFAOYSA-N	4-(2-{[4-{[3-(4-Chlorophenyl)Propyl]Sulfanyl}-6-(1-Piperazinyl)-1,3,5-Triazin-2-Yl]Amino}Ethyl)Phenol
RGJOEKWQDUBAIZ-VPHNIEJBSA-N	Coenzyme A
ZRWRPGGXCSSBAO-UHFFFAOYSA-N	Triclosan
CMUNUTVVOOHQPW-LURJTMIESA-O	Proline Betaine
QPVLKMICBYRPSX-KQYNXXCUSA-N	5'-Fluoro-5'-Deoxyadenosine
CPFJLLXFNPCTDW-IIPFOPBBSA-N	Benzatropine
OOLYVCHMVVBXFC-VTBAESOZSA-N	Myxopyronin B
YAEYOLVKVWEHNB-JWXFUTCRSA-N	1-Deoxy-6-O-Phosphono-1-[(Phosphonomethyl)Amino]-L-Threo-Hexitol
NIOYUNMRJMEDGI-QNLPYAOMSA-N	Hexadecanal
XBMIVRRWGCYBTQ-XMSQKQJNSA-N	Alphacetylmethadol
CDRPUGZCRXZLFL-UPHRSURJSA-N	PICEATANNOL
QSSGYSRUMIOURP-UHFFFAOYSA-N	2-(1H-imidazol-1-yl)-9-methoxy-8-(2-methoxyethoxy)benzo[c][2,7]naphthyridin-4-amine
KZSNJWFQEVHDMF-BYPYZUCNSA-M	L-Valine
PUAQLLVFLMYYJJ-ZETCQYMHSA-N	Cathinone
WLKGDXXWEANWON-YSFZTUEHSA-N	Chlorophyll A
LDQFLSUQYHBXSX-SIGZKIDOSA-N	Digalactosyl Diacyl Glycerol (Dgdg)
AGIZBVFPOAKOGP-UHFFFAOYSA-N	Lansoprazole
ICTVCUOZYWNYHM-UHFFFAOYSA-N	2-HEPTYL-4-HYDROXY QUINOLINE N-OXIDE
CTPOHARTNNSRSR-NOQAJONNSA-N	Beraprost
XMUVWGSHBGHBDH-UHFFFAOYSA-J	Tetrathiomolybdate
PHMBVCPLDPDESM-FKSUSPILSA-N	Ecgonine
PAJMKGZZBBTTOY-YRIDSSQKSA-N	Treprostinil
SGUAFYQXFOLMHL-ACJLOTCBSA-N	Labetalol
GDNCXORZAMVMIW-UHFFFAOYSA-N	Dodecane
SSWTVBYDDFPFAF-AJZBPKQVSA-N	Ceftibuten
WOYBPRBUPLYTPY-UHFFFAOYSA-P	2-(6-CHLORO-3-{[2,2-DIFLUORO-2-(2-PYRIDINYL)ETHYL]AMINO}-2-OXO-1(2H)-PYRAZINYL)-N-[(2-FLUORO-3-METHYL-6-PYRIDINYL)METHYL]ACETAMIDE
GXPHKUHSUJUWKP-CYFREDJKSA-N	Troglitazone
HCBIBCJNVBAKAB-UHFFFAOYSA-N	Procaine
DNBSDUDYNPJVCN-ZXTXFPBHSA-N	Guanosine 5'-(Trihydrogen Diphosphate), P'-D-Mannopyranosyl Ester
YTZALCGQUPRCGW-ZSFNYQMMSA-N	Verteporfin
VYFYYTLLBUKUHU-NUTRPMROSA-N	Dopamine
BJCLOXWGWKEQQW-IHICSVBISA-N	2-Deoxy-2,3-Dehydro-N-Acetyl-Neuraminic Acid
DNMIXZZACHRKKN-MNWMYKRDSA-N	(2E,4E)-11-METHOXY-3,7,11-TRIMETHYLDODECA-2,4-DIENOIC ACID
IMWZZHHPURKASS-UHFFFAOYSA-N	Metaxalone
AEMOLEFTQBMNLQ-QIUUJYRFSA-N	D-Glucuronic Acid
MJIRDPUZGGHJMX-OIVSQUILSA-N	Analogue of Indinavir Drug
JAHOMMMKSLNARO-BVTVREHZSA-N	Polymyxin B Sulfate
OBBGOBVJGCAAOZ-SCSAIBSYSA-N	L-Arginine
JCQLYHFGKNRPGE-UHFFFAOYSA-N	Lactulose
BULFTXGJKXVMER-PIOBBSKYSA-N	5-N-Acetyl-4-Amino-6-Diethylcarboxamide-4,5-Dihydro-2h-Pyran-2-Carboxylic Acid
VDCDWNDTNSWDFJ-UHFFFAOYSA-N	3,5-Dinitrocatechol
VJNXVAVKCZJOFQ-UHFFFAOYSA-N	Phenmetrazine
RNEACARJKXYVND-MZLJFPOFSA-N	(2S)-({(5Z)-5-[(5-ETHYL-2-FURYL)METHYLENE]-4-OXO-4,5-DIHYDRO-1,3-THIAZOL-2-YL}AMINO)(4-FLUOROPHENYL)ACETIC ACID
SDWIOXKHTFOULX-UHFFFAOYSA-N	Ribavirin Monophosphate
WTHRRGMBUAHGNI-NCNRFQDUSA-N	Quinupristin
KVGOXGQSTGQXDD-UHFFFAOYSA-N	1-DECANE-SULFONIC-ACID
URGFTPMACWKJKU-UHFFFAOYSA-N	FR230513
OZYQIQVPUZANTM-UHFFFAOYSA-N	3,5-Dichloro-4-[(4-Hydroxy-3-Isopropylphenoxy)Phenylacetic Acid
PVNIIMVLHYAWGP-UHFFFAOYSA-M	Niacin
IPHPKCQOQFXKKF-UHFFFAOYSA-N	UBIQUINONE-1
FOZYKTUSOWWQGR-KNPYFFGGSA-N	Argadin
AMFLVHLPLULRRP-UHFFFAOYSA-N	Urea
CPFBZMFUCGHBAP-UHFFFAOYSA-N	3-FLUORO-5-MORPHOLIN-4-YL-N-[1-(2-PYRIDIN-4-YLETHYL)-1H-INDOL-6-YL]BENZAMIDE
PFOLLRNADZZWEX-FFGRCDKISA-N	Bacampicillin
CJBBPPSEEZSLLY-CWLAYOAQSA-N	N-cyclooctylglycyl-N-(4-carbamimidoylbenzyl)-L-prolinamide
KVTFEOAKFFQCCX-UHFFFAOYSA-N	N-Hexadecanoylglycine
HESMISSJMKCCAV-UHFFFAOYSA-N	N-[1-(5-bromo-2,3-dimethoxybenzyl)piperidin-4-yl]-4-sulfanylbutanamide
SSOLNOMRVKKSON-UHFFFAOYSA-N	Proguanil
MAXSFYCTFIBEAR-FUIMDIGMSA-N	(C8-S)-Hydantocidin 5'-Phosphate
FABUFPQFXZVHFB-PVYNADRNSA-N	Ixabepilone
ZTKHATQQGAVPBM-PBXRRBTRSA-N	Shikimate-3-Phosphate
NODILNFGTFIURN-JRFJYIKLSA-N	ginsenoside C
FFRKURRQNVAXPU-OALUTQOASA-N	2,4-Dinitrophenyl 2-Deoxy-2-Fluoro-Beta-D-Allopyranoside
MECHNRXZTMCUDQ-GXNDFQCXSA-N	Ergocalciferol
BOHOQFXTRZASLV-GPYWDQNKSA-N	INCB3284
URAQODZICXRWGG-UHFFFAOYSA-N	Tobramycin
UUVWYPNAQBNQJQ-NBDUPMGQSA-N	Altretamine
NWJQLQGQZSIBAF-UHFFFAOYSA-N	Tacrolimus
IKSPZYAETVSSHT-UHFFFAOYSA-N	Gallium nitrate
RFMMMVDNIPUKGG-UHFFFAOYSA-N	N-Acetyl-L-Glutamate
GSNHKUDZZFZSJB-BTUDYTORSA-N	Maraviroc
QJPWUUJVYOJNMH-GSVOUGTGSA-N	Homoserine Lactone
WZYWNBWXCASOLL-ABYYHFPLSA-N	[1-(1-Methyl-4,5-Dioxo-Pent-2-Enylcarbamoyl)-2-Phenyl-Ethyl]-Carbamic Acid Benzyl Ester
ZTWBCEZQPRYIGY-ZROIWOOFSA-N	(Z)-3-BENZYL-5-(2-HYDROXY-3-NITROBENZYLIDENE)-2-THIOXOTHIAZOLIDIN-4-ONE
KSMAGQUYOIHWFS-ZETCQYMHSA-N	Lofexidine
AKIMIGBRFQHPMS-LFRDXLMFSA-N	Alpha-L-Fucose
RUDATBOHQWOJDD-IKAPKQLESA-N	Ursodeoxycholic acid
PSSMEYMGNKLWTQ-AUXQVGRPSA-N	Siroheme
ASBJGPTTYPEMLP-UWTATZPHSA-N	3-Chloroalaninate
DKJKUDFRYBTVNE-GDBMZVCRSA-N	Cefotiam
DERZBLKQOCDDDZ-JLHYYAGUSA-N	Cinnarizine
IHRPJNDVWBJCEH-UHFFFAOYSA-N	Benzonatate
XDGMOBFJXPWPNT-UHFFFAOYSA-N	Progesterone
DXGAIOIQACHYRK-QMMMGPOBSA-N	Tyrosinal
JUPZQBBEINCFCX-UHFFFAOYSA-N	Coenzyme A
QUPXEJURIFFVSX-UHFFFAOYSA-N	1-TERT-BUTYL-3-(2,5-DIMETHYLBENZYL)-1H-PYRAZOLO[3,4-D]PYRIMIDIN-4-AMINE
RTGDFNSFWBGLEC-UHFFFAOYSA-N	Mycophenolate mofetil
JCGNPQHAXBIDLH-UHFFFAOYSA-N	4-Carboxyphenylboronic Acid
NBFNMSULHIODTC-UHFFFAOYSA-N	Cefadroxil
GTFMAONWNTUZEW-UHFFFAOYSA-N	Glutaric Acid
JRURYQJSLYLRLN-UHFFFAOYSA-N	Entacapone
CSOMAHTTWTVBFL-HIQFVUDTSA-N	PLATENSIMYCIN
ONXCBJOMYNPZNI-UHFFFAOYSA-N	2-Bromo-6-Hydroxy-Purine
CIDUJQMULVCIBT-WAXZJLKGSA-N	Netilmicin
ZZNZZRJKKNXXCG-UHFFFAOYSA-N	Decane
ASUTZQLVASHGKV-GIKCGWCJSA-N	Galantamine
YPGMOWHXEQDBBV-ZXZARUISSA-N	Dithiane Diol
KDJAWHZITVFLFM-UHFFFAOYSA-N	Lauryl Dimethylamine-N-Oxide
LOUPRKONTZGTKE-WGFDLZGGSA-N	Quinidine
SORGEVGVOIIJHZ-UHFFFAOYSA-N	3-(6-HYDROXY-NAPHTHALEN-2-YL)-BENZO[D]ISOOXAZOL-6-OL
HLFSDGLLUJUHTE-SNVBAGLBSA-N	Levamisole
ZFELWBFULDVWKH-KQYNXXCUSA-N	Adenosine
GFORIHIFOYAEQE-PRULPYPASA-N	Capecitabine
WBHHMMIMDMUBKC-QGZVFWFLSA-N	Ricinoleic Acid
KWEQFQACRLGUSH-MMKYUKOKSA-N	Etheno-Nadp
FKCQUVAGEOSYRU-QWRGUYRKSA-N	5-(5-CHLORO-2-THIENYL)-N-{(3S)-1-[(1S)-1-METHYL-2-MORPHOLIN-4-YL-2-OXOETHYL]-2-OXOPYRROLIDIN-3-YL}-1H-1,2,4-TRIAZOLE-3-SULFONAMIDE
KYIZLWYCZCSCGM-JIQYXTBNSA-N	Taurocholic Acid
RYIWDDCNJPSPRA-SAVGLBRCSA-N	O1-Pentyl-Mannose
ZQPPMHVWECSIRJ-MDZDMXLPSA-N	Oleic Acid
SUNVJLYYDZCIIK-UHFFFAOYSA-N	Duroquinone
VWWQXMAJTJZDQX-UYBVJOGSSA-N	Flavin adenine dinucleotide
AYFVYJQAPQTCCC-GBXIJSLDSA-M	L-Threonine
